Variable-1,Variable-2,Variable-3,Variable-4,Variable-5,Output
60,190,200,900,150,87.1
60,190,200,900,150,86.9
150,190,200,900,150,85.3
150,190,200,900,300,83.7
60,210,250,360,300,78.3
60,210,250,900,300,77.7
60,210,230,900,300,76.4
70,210,200,900,300,64
60,210,150,1200,300,59.7
160,200,110,1440,70,47.1
80,160,235,999,60,46.5
60,210,250,900,160,45.9
60,210,200,360,80,45.1
60,210,250,900,60,44.4
60,80,220,999,60,42
160,200,110,1440,60,41.6
60,210,250,900,60,41.6
60,210,230,900,160,38.4
60,210,250,900,60,36.6
170,170,220,30,60,36
60,210,250,900,200,31.6
160,200,110,1440,200,30.7
160,200,110,1440,250,28.9
60,210,250,900,250,26.6
60,210,250,900,230,24.2
60,210,250,900,200,23.3
60,210,250,900,150,21.6
60,210,250,900,110,21.4
60,210,250,900,235,20.6
60,210,250,900,250,19.5
60,210,250,900,200,19.4
60,210,250,900,250,17.9
160,200,110,1440,1200,16.9
60,210,250,900,1200,16.3
160,200,110,1440,15,15.1
60,210,250,900,15,13.8
150,90,250,90,15,13.2
70,90,250,90,15,12.6
60,210,250,900,15,12.5
150,90,250,90,120,11.7
160,200,110,1440,120,8.1
60,180,200,960,120,7.9
60,210,200,360,160,7.1
60,180,250,180,160,6.1
160,200,110,1440,160,5.9
160,200,110,1440,60,5.2
160,200,110,1440,60,2.9
60,180,210,999,60,1.9
60,180,210,999,190,1.6
60,180,200,180,60,1.5
190,90,250,90,90,1.2
60,200,210,999,90,10
90,10,80,10,90,16
90,10,80,10,180,6.7
90,10,80,10,180,15
180,100,25,1200,20,25
180,100,25,1200,20,51
20,30,150,15,20,10
20,30,150,15,20,10
20,30,150,15,20,8
20,230,150,15,110,8
20,120,150,15,110,7
110,40,300,120,210,35.5
110,40,300,120,210,17.3
110,40,300,120,210,17.5
110,40,300,120,80,20.8
110,40,300,120,200,20.2
110,40,300,120,210,2.2
120,50,350,180,210,32.8
40,140,300,240,210,19.5
100,60,300,80,170,8.3
50,150,260,240,210,14.6
140,70,350,240,200,21